Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacturer
Nissan X-Trail SLX,13,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75,Nissan
Maruti Zen Estilo,13,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25,Maruti
Toyota Innova Crysta,6,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5,Toyota
Ford Figo Diesel,13,72000,Diesel,Manual,First,20,1399,68,5,2.75,Ford
Mercedes-Benz New C-Class,8,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7,Mercedes-Benz
Mercedes-Benz New C-Class,12,65000,Diesel,Manual,Second,15.8,2148,170,5,10,Mercedes-Benz
Tata Indica V2,7,178000,Diesel,Manual,First,25,1396,69,5,2.5,Tata
Audi A4 2.0,11,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5,Audi
Honda City ZX,16,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85,Honda
Mercedes-Benz C-Class Progressive,4,15369,Diesel,Automatic,First,0,1950,194,5,35.67,Mercedes-Benz
Maruti Ertiga SHVS,7,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15,Maruti
Hyundai Creta 1.4,5,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5,Hyundai
Porsche Cayenne 2009-2014,15,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5,Porsche
Mahindra XUV500 W8,8,55729,Diesel,Manual,First,15.1,2179,140,7,9.65,Mahindra
Hyundai i10 Sportz,11,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48,Hyundai
Nissan Terrano XV,8,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92,Nissan
Honda Brio VX,7,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46,Honda
Audi A6 2.0,9,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5,Audi
Ford Fiesta 1.4,15,111111,Diesel,Manual,First,17.8,1399,113.2530497,5,2,Ford
Toyota Innova 2.0,17,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5,Toyota
Toyota Innova 2.5,11,104000,Diesel,Manual,First,12.8,2494,102,7,11.75,Toyota
Hyundai Santro Xing,18,87591,Petrol,Manual,First,0,1086,113.2530497,5,1.3,Hyundai
Maruti Swift VDI,11,95100,Diesel,Manual,First,22.9,1248,74,5,3.75,Maruti
Tata Zest Revotron,6,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5,Tata
Honda Amaze SX,7,54944,Petrol,Manual,First,18,1198,86.7,5,4.82,Honda
Ford Figo Diesel,11,70337,Diesel,Manual,First,20,1399,68,5,2.8,Ford
Maruti Ritz VDi,10,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11,Maruti
Honda City i,14,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25,Honda
BMW 5 Series,12,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9,BMW
Hyundai i10 Sportz,14,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25,Hyundai
Hyundai Grand i10,7,16000,Petrol,Manual,First,18.9,1197,82,5,5.75,Hyundai
Hyundai Santro Xing,16,73745,Petrol,Manual,First,17,1086,113.2530497,5,2.1,Hyundai
Honda Amaze SX,7,18949,Petrol,Manual,First,17.8,1198,86.7,5,5,Honda
Toyota Fortuner 4x2,9,107000,Diesel,Manual,First,13,2982,168.5,7,16.5,Toyota
Audi A6 2011-2015,5,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58,Audi
Ford Ecosport 1.5,10,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5,Ford
Mahindra XUV500 W8,9,58000,Diesel,Manual,First,15.1,2179,140,7,8.1,Mahindra
Honda Amaze SX,8,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,Honda
Volkswagen Polo Diesel,10,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79,Volkswagen
Hyundai Verna Transform,13,70002,Diesel,Manual,First,16.2,1493,110,5,3.45,Hyundai
Maruti Wagon R,7,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45,Maruti
Volkswagen Polo Petrol,13,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65,Volkswagen
Hyundai i20 1.4,12,78958,Diesel,Manual,Second,23,1396,90,5,3.8,Hyundai
Hyundai i20 Asta,9,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65,Hyundai
Datsun GO Plus,6,32851,Petrol,Manual,First,19.83,1198,67,7,3.95,Datsun
Audi A4 3.0,13,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8,Audi
Hyundai i20 2015-2017,14,66000,Petrol,Manual,Second,17,1197,80,5,2.7,Hyundai
Maruti Omni 5,13,93850,Petrol,Manual,First,14,796,35,5,2.41,Maruti
Toyota Etios Liva,9,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9,Toyota
Jaguar XF 3.0,12,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24,Jaguar
Mahindra XUV500 W8,11,65000,Diesel,Manual,Second,16,2179,140,7,5.75,Mahindra
Hyundai Verna 1.6,9,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25,Hyundai
Toyota Innova Crysta,6,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25,Toyota
Maruti Eeco 5,6,38053,Petrol,Manual,First,15.1,1196,73,5,3.91,Maruti
Tata Nano Twist,9,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15,Tata
BMW 3 Series,8,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75,BMW
Honda Civic 2006-2010,13,71088,Petrol,Manual,First,13.5,1799,130,5,3.35,Honda
Toyota Innova 2.5,9,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11,Toyota
Volvo V40 Cross,9,32700,Diesel,Automatic,First,23.3,1984,150,5,20,Volvo
Nissan Micra XV,7,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55,Nissan
BMW 5 Series,14,128000,Petrol,Automatic,First,10.8,2497,215,5,7,BMW
Maruti Vitara Brezza,7,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5,Maruti
Hyundai Santro Xing,18,102000,Petrol,Manual,Second,17,1086,113.2530497,5,0.85,Hyundai
Mercedes-Benz B Class,9,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75,Mercedes-Benz
Hyundai Verna CRDi,5,10250,Diesel,Manual,First,22,1582,126.2,5,10.95,Hyundai
Maruti Wagon R,12,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45,Maruti
Tata Nano XTA,6,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23,Tata
Mahindra Scorpio VLX,9,42000,Diesel,Manual,First,12.05,2179,120,8,7.75,Mahindra
Mercedes-Benz New C-Class,14,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35,Mercedes-Benz
Maruti Wagon R,10,89900,CNG,Manual,First,26.6,998,58.16,5,3.25,Maruti
Honda CR-V 2.4,16,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25,Honda
Volkswagen Vento 1.5,8,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25,Volkswagen
Maruti Ciaz VXi,6,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47,Maruti
Mahindra XUV500 AT,7,54000,Diesel,Automatic,First,16,2179,140,7,13.25,Mahindra
Maruti Ritz VXI,7,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81,Maruti
Maruti Alto K10,9,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6,Maruti
Mercedes-Benz SLC 43,6,13372,Petrol,Automatic,First,19,2996,362.07,2,54,Mercedes-Benz
Hyundai Verna VTVT,4,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5,Hyundai
Maruti Alto LXi,13,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6,Maruti
BMW 1 Series,8,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22,BMW
Honda Jazz 1.2,8,12000,Petrol,Automatic,First,19,1199,88.7,5,6,Honda
Honda Civic 2006-2010,11,88578,Petrol,Manual,First,13.5,1799,130,5,3.95,Honda
Mercedes-Benz New C-Class,9,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95,Mercedes-Benz
Honda Amaze SX,9,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7,Honda
Maruti Swift VVT,7,34204,Petrol,Manual,First,22,1197,81.8,5,5.43,Maruti
Hyundai Santro Xing,15,80759,Petrol,Manual,Third,17,1086,113.2530497,5,1.67,Hyundai
Toyota Fortuner 3.0,11,91235,Diesel,Manual,First,11.5,2982,171,7,13.49,Toyota
Chevrolet Beat LT,9,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85,Chevrolet
Skoda Rapid 1.5,10,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75,Skoda
Maruti Ciaz 1.4,5,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9,Maruti
Audi RS5 Coupe,10,23000,Petrol,Automatic,First,11.05,2894,444,4,37,Audi
BMW 3 Series,9,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5,BMW
Audi A4 2.0,8,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32,Audi
Maruti Swift VDI,7,35000,Diesel,Manual,First,22.9,1248,74,5,6.25,Maruti
Mercedes-Benz S Class,13,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30,Mercedes-Benz
Skoda Rapid 1.5,7,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86,Skoda
Skoda Superb Elegance,11,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5,Skoda
Hyundai EON Magna,4,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23,Hyundai
Volkswagen Polo Diesel,11,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5,Volkswagen
Datsun GO NXT,7,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5,Datsun
Honda Brio S,10,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39,Honda
Mercedes-Benz B Class,10,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25,Mercedes-Benz
Honda City i,8,42831,Diesel,Manual,First,26,1498,98.6,5,7.11,Honda
Toyota Innova 2.5,7,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9,Toyota
Maruti Swift VXI,6,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2,Maruti
Mahindra XUV500 W8,11,32792,Diesel,Manual,First,15.1,2179,140,7,7.9,Mahindra
Ford Ecosport 1.5,9,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42,Ford
Toyota Fortuner 4x2,11,131765,Diesel,Manual,First,13,2982,168.5,7,13.5,Toyota
Volkswagen Vento 1.5,10,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25,Volkswagen
Ford Figo Diesel,13,66123,Diesel,Manual,Second,20,1399,68,5,2.1,Ford
BMW X5 xDrive,8,41000,Diesel,Automatic,First,15.3,2993,258,5,45,BMW
Mercedes-Benz New C-Class,6,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66,Mercedes-Benz
Honda Brio V,11,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65,Honda
Hyundai i10 Magna,10,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75,Hyundai
Mercedes-Benz GLC 220,7,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5,Mercedes-Benz
Hyundai Grand i10,4,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5,Hyundai
Audi A6 2011-2015,11,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19,Audi
Volkswagen Vento Petrol,10,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45,Volkswagen
Mini Countryman Cooper,6,8525,Diesel,Automatic,Second,16.6,1998,112,5,23,Mini
Hyundai i20 Asta,9,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35,Hyundai
Audi A6 2011-2015,9,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95,Audi
Chevrolet Beat Diesel,11,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5,Chevrolet
Skoda Superb Elegance,11,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89,Skoda
Ford Fiesta 1.4,17,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45,Ford
BMW 5 Series,9,51000,Diesel,Automatic,First,22.48,1995,190,5,33.5,BMW
Chevrolet Optra Magnum,16,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25,Chevrolet
Volkswagen Polo Diesel,11,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2,Volkswagen
Renault Lodgy 110PS,8,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75,Renault
Mercedes-Benz E-Class E250,9,37382,Diesel,Automatic,First,13,2143,201.1,5,32,Mercedes-Benz
Maruti Baleno Alpha,6,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5,Maruti
Hyundai Verna 1.6,11,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6,Hyundai
Hyundai i10 Magna,6,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04,Hyundai
Mahindra Scorpio 1.99,7,56739,Diesel,Manual,First,15.4,1997,120,7,10.31,Mahindra
Land Rover Range,5,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76,Land
Ford Figo Diesel,13,120000,Diesel,Manual,First,20,1399,68,5,2.6,Ford
Maruti Ertiga ZDI,7,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5,Maruti
Honda City 1.5,16,60006,Petrol,Manual,First,0,1621.27645,113.2530497,5.278735151,2.95,Honda
Honda Amaze S,9,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,Honda
Hyundai i10 Magna,8,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55,Hyundai
Honda Amaze S,10,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25,Honda
Skoda Laura Ambiente,15,113000,Diesel,Manual,First,17.5,1896,106,5,4.5,Skoda
Renault Duster 85PS,9,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35,Renault
Mahindra NuvoSport N6,6,29000,Diesel,Manual,Second,17.45,1493,100,7,6.5,Mahindra
Maruti Vitara Brezza,7,20000,Diesel,Manual,First,24.3,1248,88.5,5,9,Maruti
Hyundai i20 Asta,7,61012,Petrol,Manual,First,18.6,1197,81.83,5,6,Hyundai
Skoda Fabia 1.4,14,87459,Petrol,Manual,First,14.7,1390,85,5,2.75,Skoda
Tata Indigo eCS,13,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5,Tata
Audi Q3 2012-2015,8,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9,Audi
Skoda Octavia Elegance,9,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10,Skoda
Toyota Etios Liva,9,104000,Diesel,Manual,First,23.59,1364,67.06,5,3,Toyota
Maruti Swift 1.3,13,42001,Petrol,Manual,First,16.1,1621.27645,113.2530497,5.278735151,2.11,Maruti
Mercedes-Benz B Class,9,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96,Mercedes-Benz
Honda Amaze S,10,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25,Honda
Hyundai Verna 1.6,11,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75,Hyundai
Renault Duster 85PS,9,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95,Renault
Hyundai Creta 1.6,8,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15,Hyundai
Maruti Wagon R,7,8500,Petrol,Automatic,First,20.51,998,67,5,4.22,Maruti
Mercedes-Benz New C-Class,13,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5,Mercedes-Benz
Audi A8 L,11,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45,Audi
Hyundai i10 Magna,11,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9,Hyundai
Skoda Rapid 1.6,6,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9,Skoda
Skoda Superb Style,6,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26,Skoda
Hyundai i20 Active,5,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22,Hyundai
Honda Amaze VX,9,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5,Honda
Maruti Wagon R,19,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,Maruti
Mahindra Verito 1.5,10,107000,Diesel,Manual,First,21.03,1461,65,5,3.7,Mahindra
Mercedes-Benz New C-Class,5,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41,Mercedes-Benz
Maruti Wagon R,10,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65,Maruti
Nissan Terrano XV,8,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92,Nissan
Maruti Swift VDI,10,47000,Diesel,Manual,First,17.8,1248,113.2530497,5,4.1,Maruti
Mini Cooper Convertible,6,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67,Mini
Ford Figo Diesel,8,70436,Diesel,Manual,First,0,1498,99,5.278735151,3.6,Ford
Tata Indica V2,16,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85,Tata
Chevrolet Beat LT,7,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32,Chevrolet
Volkswagen Polo Diesel,11,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6,Volkswagen
Maruti Swift ZDi,7,64000,Diesel,Manual,First,22.9,1248,74,5,6.8,Maruti
Ford Figo Diesel,11,41284,Diesel,Manual,First,20,1399,68.05,5,2.5,Ford
Toyota Innova Crysta,4,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64,Toyota
Hyundai Santa Fe,12,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7,Hyundai
Honda City i-VTEC,12,32572,Petrol,Manual,First,17.4,1497,117.3,5,3.87,Honda
Hyundai i20 1.2,5,14960,Petrol,Manual,First,18.6,1197,81.83,5,6.27,Hyundai
Mercedes-Benz New C-Class,8,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18.12,Mercedes-Benz
Chevrolet Beat Diesel,10,74000,Diesel,Manual,First,25.44,936,57.6,5,2.65,Chevrolet
Hyundai i20 Sportz,8,56847,Diesel,Manual,First,22.54,1396,88.73,5,7.2,Hyundai
Toyota Innova 2.5,8,121374,Diesel,Manual,First,12.99,2494,100.6,7,14.3,Toyota
Maruti Ertiga VDI,10,52000,Diesel,Manual,First,20.77,1248,88.76,7,6.9,Maruti
Toyota Innova 2.5,9,118000,Diesel,Manual,First,12.8,2494,102,7,10.75,Toyota
Hyundai Santro Xing,16,72000,Petrol,Manual,Third,17,1086,113.2530497,5,0.95,Hyundai
Honda City i,7,33915,Petrol,Manual,First,17.8,1497,117.3,5,8.09,Honda
BMW X1 sDrive20d,9,82002,Diesel,Automatic,First,17.05,1995,184,5,18.5,BMW
Hyundai Grand i10,6,33000,Diesel,Manual,First,24,1120,70,5,4.75,Hyundai
Maruti Ciaz 1.3,7,34000,Diesel,Manual,First,28.09,1248,88.5,5,8.45,Maruti
Skoda Rapid Leisure,11,55000,Diesel,Manual,First,20.5,1598,103.6,5,3.5,Skoda
Hyundai Accent CRDi,17,160538,Diesel,Manual,First,13.1,1493,82,5,1.8,Hyundai
Volkswagen Polo GT,9,60000,Diesel,Manual,Second,19.91,1498,103.6,5,3.7,Volkswagen
Honda Jazz 1.2,6,49575,Petrol,Manual,First,18.7,1199,88.7,5,7.17,Honda
Hyundai i10 Era,13,83000,Petrol,Manual,First,19.81,1086,68.05,5,1.75,Hyundai
Hyundai Tucson 2.0,5,51346,Diesel,Automatic,First,16.38,1995,183,5,21.99,Hyundai
Toyota Innova Crysta,6,43000,Diesel,Manual,First,13.68,2393,147.8,7,18.65,Toyota
Maruti Omni MPI,12,35000,Petrol,Manual,Third,19.7,796,35,5,1.85,Maruti
Maruti Swift VXI,6,27872,Petrol,Manual,Second,20.4,1197,81.8,5,5.95,Maruti
Hyundai Grand i10,9,16514,Petrol,Manual,First,18.9,1197,82,5,3.75,Hyundai
Maruti Swift VDI,11,120000,Diesel,Manual,First,22.9,1248,74,5,3.75,Maruti
Hyundai Verna CRDi,15,143275,Diesel,Manual,First,22,1582,126.2,5,2.6,Hyundai
Hyundai Santro Xing,17,99000,Petrol,Manual,First,0,1086,113.2530497,5,1.75,Hyundai
Hyundai i20 1.2,13,52000,Petrol,Manual,First,17,1197,80,5,2.8,Hyundai
Mercedes-Benz GLE 350d,6,29819,Diesel,Automatic,First,11.57,2987,254.79,5,61.29,Mercedes-Benz
Mercedes-Benz New C-Class,9,57000,Diesel,Manual,Second,15.8,2148,170,5,18,Mercedes-Benz
Maruti Ritz ZDi,9,88500,Diesel,Manual,First,23.2,1248,73.94,5,4.35,Maruti
Hyundai Creta 1.6,7,28000,Diesel,Manual,First,19.67,1582,126.2,5,13.75,Hyundai
Maruti A-Star Vxi,13,67000,Petrol,Manual,First,19,998,66.1,5,2,Maruti
Renault Duster 110PS,7,26000,Diesel,Manual,First,19.64,1461,108.45,5,10,Renault
Fiat Grande Punto,13,120000,Diesel,Manual,First,17.8,1248,76,5,1.65,Fiat
BMW X3 xDrive30d,6,51982,Diesel,Automatic,First,16.55,2993,258,5,45.77,BMW
Hyundai i10 Sportz,13,36000,Petrol,Manual,Second,20.36,1197,78.9,5,3.25,Hyundai
Toyota Innova 2.5,7,47000,Diesel,Manual,First,12.8,2494,102,7,12.8,Toyota
Maruti Zen VXI,21,60000,Petrol,Manual,Third,17.3,993,60,5,0.55,Maruti
Maruti Swift VDI,5,31025,Diesel,Manual,First,28.4,1248,74,5,7.15,Maruti
Mahindra Scorpio VLX,10,105000,Diesel,Manual,Second,12.05,2179,120,8,7,Mahindra
Tata Zest Quadrajet,6,121900,Diesel,Manual,First,22.95,1248,74,5,3.75,Tata
Ford EcoSport 1.0,6,22695,Petrol,Manual,First,18.88,999,123.24,5,8.5,Ford
